location_code,country,city
10228,"United States",Farmington
10244,"United Kingdom",Normanton
10361,"United States",Richmond
10696,"United Kingdom",Bradford
10743,"United States",Cumming
10775,"United States",Joliet
11044,"United States",Midland
11346,"United States","Sioux Falls"
11625,"United States",Boise
11884,"United States","Silver Spring"
12077,"United States",Bronx
12991,"United States",Boulder
13772,"United States","Daytona Beach"
13897,"United States",Murfreesboro
13907,"United Kingdom",Seaton
14169,"United States","Fort Wayne"
14255,"United States",Irving
14433,"United States","Long Beach"
14603,"United States","Sioux City"
14627,"United States",Reston
14682,"United States",Waterbury
14823,"United States",Dulles
15302,"United States",Vienna
15502,"United States","New Brunswick"
15603,"United States",Jacksonville
15798,"United States",Elmira
15920,"United States",Fargo
16385,"United States",Miami
16619,Australia,"Australia Square"
16652,"United States",Chattanooga
16766,"United States",Charlottesville
16802,"United Kingdom",Weston
17549,"United States",Gatesville
17610,"United States",Tempe
17634,"United States",Schenectady
17787,"United States",Petaluma
17881,"United States",Beaverton
18776,"United States",Knoxville
19147,"United States","Newport Beach"
19219,"United States","Santa Ana"
19294,"United States",Jeffersonville
19593,"United States",Baltimore
19617,"United States",Tyler
19862,"United States",Monroe
20056,"United States",Charlotte
20473,"United States","New Bedford"
20821,"United States",Tuscaloosa
20940,"United States","New Hyde Park"
21216,"United States",Buffalo
21337,"United States",Corona
21354,"United States","Garden Grove"
21389,"United States",Humble
21480,"United States",Newton
21744,"United States",Providence
21793,"United States","Huntington Beach"
22147,"United Kingdom",Twyford
22419,"United States",Arlington
22770,"United States","Great Neck"
23079,"United Kingdom",Whitwell
23092,"United States",Dearborn
23145,"United States","Santa Cruz"
23162,"United Kingdom",Linton
23300,"United States",Naples
23310,"United Kingdom",Whitchurch
23312,"United States",Rochester
23402,"United States",Jamaica
23435,"United States",Bellevue
23493,"United Kingdom",Manchester
23646,"United States","Little Rock"
23870,"United States",Stockton
24691,"United States",Columbus
24793,"United States","Maple Plain"
24862,"United States",Racine
24959,"United States",Lynn
25229,"United States",Evansville
25254,"United States",Houston
25953,"United States","Wilkes Barre"
26200,"United States","Port Washington"
26748,"United States",Bloomington
27073,"United States",Laurel
27086,"United States",Independence
27470,"United States",Provo
27939,"United States",Greeley
28001,"United States",Alexandria
28010,"United States",Waco
28133,"United States","Salt Lake City"
28358,"United States",Youngstown
28518,"United States","Grand Forks"
28700,"United States","Saint Augustine"
28753,"United States",Bethlehem
28811,"United States",Hicksville
29010,"United States","Miami Beach"
29169,"United States",Tallahassee
29335,"United States",Dallas
29549,"United Kingdom",Newton
29651,"United States",Glendale
29802,"United States","Battle Creek"
29867,"United States",Minneapolis
29981,"United States",Detroit
30010,"United Kingdom",Newtown
30127,"United Kingdom",Wirral
30857,"United States","Virginia Beach"
31242,"United States",Scranton
31250,"United States",Seminole
31340,"United States","Colorado Springs"
31349,"United States",Olympia
31609,"United States","Saint Paul"
31865,"United States",Yonkers
31922,"United States",Charleston
32180,"United States","San Diego"
32438,"United States",Bradenton
33168,"United Kingdom",Upton
33324,"United States",Columbia
33498,Australia,"Eastern Suburbs Mc"
33502,"United States","San Angelo"
33698,"United States","Terre Haute"
34225,"United Kingdom",Eaton
34518,"United States",Albany
34659,"United States",Greenville
35091,"United States","West Palm Beach"
35150,"United States","Fort Myers"
35543,"United Kingdom",Marston
35758,"United States",Stamford
36498,"United States",Irvine
37025,"United States",Reno
37068,"United Kingdom",Horton
37086,"United States",Denton
37276,Australia,Melbourne
37949,"United States",Amarillo
37992,"United States",Naperville
38406,"United States",Kissimmee
38752,"United States","Fort Smith"
38968,"United States",Brooklyn
38983,"United States",Duluth
39315,"United States",Monticello
39370,Australia,Brisbane
39390,"United States","High Point"
39477,"United Kingdom",Preston
40283,"United States",Greensboro
40441,"United States",Tucson
40833,"United Kingdom",Craigavon
41361,"United Kingdom",Burnside
41556,"United States",Carlsbad
42043,"United States","Fort Lauderdale"
42070,"United States",Pensacola
42108,"United Kingdom",Belfast
42333,"United States",Littleton
42442,"United States",Lincoln
42632,Australia,Sydney
42639,"United States",Inglewood
42662,"United States",Bakersfield
42854,"United States",Boston
42877,Australia,"Northern Suburbs Mc"
43513,"United States",Washington
43578,"United States",Sterling
43705,"United States","North Little Rock"
43767,"United States",Warren
44182,"United States",Florence
44695,"United States",Mesquite
44762,"United Kingdom",Hatton
44939,"United States",Muskegon
45114,"United States",Montgomery
45124,"United Kingdom",Charlton
45659,"United States",Danbury
45832,"United States","Fort Worth"
45872,"United States",Valdosta
46184,"United States","Corpus Christi"
46251,"United Kingdom",Ford
46373,"United States",Augusta
46385,"United States",Fullerton
46606,"United States",Hamilton
47573,"United States",Mobile
47629,"United States",Billings
47650,"United States",Madison
47672,"United States",Schaumburg
47906,"United States",Albuquerque
48098,"United States",Memphis
48219,"United States",Migrate
48297,"United States",Phoenix
48598,"United States","Santa Rosa"
48771,"United States","El Paso"
48813,"United States","Young America"
48840,"United States",Norfolk
48969,"United States","Baton Rouge"
49243,"United States",Hollywood
49410,"United States","Van Nuys"
49494,"United Kingdom",Sheffield
49973,"United States",Scottsdale
50067,"United States",Syracuse
50411,"United States",Trenton
50609,"United States",Chandler
50832,"United States","Santa Monica"
51022,"United States","New Haven"
51384,"United States",Beaufort
51653,"United States",Sunnyvale
52013,"United Kingdom",Bristol
52175,"United States",Honolulu
52211,"United States",Lynchburg
52403,"United States","Jefferson City"
52435,"United States",Fairbanks
52859,"United States",Erie
53201,"United States",Lafayette
53297,"United States",Tacoma
53735,"United States","Saint Petersburg"
53842,"United States",Paterson
53947,"United States","Saint Cloud"
54054,"United States","Kansas City"
54119,"United States",Pueblo
54155,"United States",Allentown
54568,"United States",Salinas
54748,Australia,"Strawberry Hills"
54821,"United States",Toledo
55058,"United States",Spring
55087,"United States","Delray Beach"
55262,"United States",Lansing
55705,"United States",Chesapeake
55727,"United States",Kingsport
55755,"United States","New Orleans"
56369,"United States","Las Vegas"
56739,"United States",Reading
56969,"United States","San Rafael"
57014,"United States",Biloxi
57390,"United States",Pasadena
57505,"United States","Boynton Beach"
58190,"United States",Omaha
58570,"United States",Savannah
58860,"United States",Anchorage
58955,"United Kingdom","East End"
58983,"United States","Santa Fe"
59108,"United States",Odessa
59122,"United States",Hampton
59418,"United States",Vancouver
59588,"United States","Iowa City"
59623,"United States",Camden
59766,"United States","Grand Rapids"
59768,"United States",Zephyrhills
59778,"United States","San Jose"
59872,"United States",Newark
59926,"United Kingdom",Sutton
60167,"United Kingdom",Denton
60326,"United States","Los Angeles"
60747,"United Kingdom",Ashley
61736,"United States",Lakeland
62080,"United States",Oakland
62194,"United States","Simi Valley"
62465,"United States",Norwalk
62668,"United States",Chicago
62887,"United States",Lexington
63361,"United States",Lubbock
63924,"United States",Pittsburgh
64061,Australia,Adelaide
64230,"United Kingdom",Stapleford
64460,"United Kingdom",Tullich
64583,"United Kingdom",Middleton
64883,"United States",Marietta
65171,"United States",Anaheim
65188,"United Kingdom",Langley
65569,"United Kingdom",Newport
65725,"United States",Englewood
66038,"United States",Flushing
66512,Australia,Hobart
66817,"United States",Lancaster
66950,"United States",Chico
66987,"United States",Asheville
67117,"United States",Denver
67310,"United States","Round Rock"
67560,"United States",Orange
67934,"United States",Cincinnati
68290,"United States",Philadelphia
68343,"United States","Lees Summit"
68379,"United States",Largo
68579,"United States",Beaumont
69034,Australia,Perth
69098,"United States",Indianapolis
69158,"United States",Akron
69177,"United States",Birmingham
69389,"United States",Huntsville
69645,Australia,Launceston
69947,"United States","Grand Junction"
70038,"United States","Mountain View"
70340,"United States","Saint Joseph"
70612,"United States",Palmdale
70866,"United States",Raleigh
70888,"United States","South Bend"
71003,"United States",Rockford
71405,"United Kingdom",Edinburgh
71559,"United States",Decatur
71583,"United States",London
72220,"United Kingdom","West End"
72230,"United States",Whittier
72687,"United States",Peoria
72984,"United States",Wichita
73179,"United States",Clearwater
73360,"United Kingdom",Kingston
73401,"United Kingdom",Swindon
73407,"United Kingdom",London
73445,"United States",Nashville
73827,"United States",Melbourne
73852,"United States",Cleveland
73863,"United Kingdom",Kinloch
74253,"United Kingdom",Wootton
74322,"United States","New York City"
74526,"United States",Harrisburg
74784,"United States",Alhambra
75016,Australia,"Sydney South"
75132,"United States",Ogden
75197,"United States",Aurora
75233,"United States",Dayton
75660,"United States","Oklahoma City"
75750,"United Kingdom",Merton
75857,"United States",Shreveport
75910,"United States","Las Cruces"
76403,"United States","Winter Haven"
76408,"United States",Bryan
76436,"United Kingdom",Carlton
76635,"United States","Newport News"
76991,"United States",Katy
77230,"United States",Milwaukee
77467,"United States",Manassas
77800,"United States","Santa Barbara"
78174,"United States",Burbank
78338,"United States",Huntington
78364,"United States",Saginaw
78778,"United States",Gary
78889,"United States",Lawrenceville
79261,"United Kingdom",Norton
79347,"United Kingdom",Newbiggin
79505,"United States",Champaign
79525,"United States","Saint Louis"
79699,"United Kingdom",Halton
79777,"United Kingdom",Buckland
79790,"United Kingdom",Glasgow
80104,"United States","Boca Raton"
80298,"United States",Frankfort
80425,"United States","Cedar Rapids"
80434,"United States","Shawnee Mission"
80917,"United Kingdom",Birmingham
81054,"United States",Palatine
81802,"United States",Ocala
82289,"United States",Garland
82453,"United States",Merrifield
82525,"United States",Anniston
82604,"United Kingdom",Aston
82970,"United Kingdom",Leeds
83517,"United Kingdom",Brampton
83864,"United States",Oceanside
83956,"United Kingdom",Kirkton
83979,"United States","Punta Gorda"
83986,"United States",Sparks
84088,"United States","Pompano Beach"
84590,"United States",Louisville
84635,"United States",Mesa
84821,"United States",Roanoke
85677,"United Kingdom",Liverpool
85684,"United States",Hyattsville
85860,"United States",Austin
86082,"United Kingdom",Pentre
86224,"United States",Atlanta
86277,"United States","San Antonio"
86310,"United States",Hartford
86338,"United Kingdom",Aberdeen
86516,"United States",Cheyenne
86632,"United States",Tulsa
86892,"United States","San Bernardino"
87001,"United States","Fort Pierce"
87511,"United States","Johnson City"
87857,"United Kingdom",Walton
87974,"United Kingdom",Milton
88142,"United States","West Hartford"
88457,"United States",Jackson
88735,"United States","Des Moines"
89134,Australia,"Adelaide Mail Centre"
89187,"United States","Port Saint Lucie"
89378,"United States",Torrance
89545,"United Kingdom","Church End"
89547,"United States",Annapolis
89596,"United States",Topeka
89630,"United States",Hagerstown
89748,"United States","Staten Island"
90522,"United States",Conroe
90581,"United States",Springfield
90585,"United States","Winston Salem"
90652,"United Kingdom",Thorpe
90779,"United States",Macon
90867,"United States","San Francisco"
90870,"United States",Portland
90894,"United States",Wilmington
91067,"United States",Tampa
91283,"United States",Gainesville
91430,"United States",Orlando
91491,"United States",Durham
91612,"United States","Pinellas Park"
91914,"United Kingdom",Dean
92132,"United States",Seattle
92170,"United States",Sacramento
95434,"United States",Canton
98452,"United States",Fresno